,Player,last_letter,player_id,url
223,richard jefferson,j,jefferi01,http://www.basketball-reference.com/players/j/jefferi01.html
224,john jenkins,j,jenkijo01,http://www.basketball-reference.com/players/j/jenkijo01.html
225,brandon jennings,j,jennibr01,http://www.basketball-reference.com/players/j/jennibr01.html
226,jonas jerebko,j,jerebjo01,http://www.basketball-reference.com/players/j/jerebjo01.html
227,amir johnson,j,johnsam01,http://www.basketball-reference.com/players/j/johnsam01.html
228,chris johnson,j,johnsch01,http://www.basketball-reference.com/players/j/johnsch01.html
229,james johnson,j,johnsja01,http://www.basketball-reference.com/players/j/johnsja01.html
230,joe johnson,j,johnsjo01,http://www.basketball-reference.com/players/j/johnsjo01.html
231,orlando johnson,j,johnsor01,http://www.basketball-reference.com/players/j/johnsor01.html
232,stanley johnson,j,johnsst01,http://www.basketball-reference.com/players/j/johnsst01.html
233,tyler johnson,j,johnsty01,http://www.basketball-reference.com/players/j/johnsty01.html
234,wesley johnson,j,johnswe01,http://www.basketball-reference.com/players/j/johnswe01.html
235,nikola jokic,j,jokicni01,http://www.basketball-reference.com/players/j/jokicni01.html
236,dahntay jones,j,jonesda01,http://www.basketball-reference.com/players/j/jonesda01.html
237,james jones,j,jonesja01,http://www.basketball-reference.com/players/j/jonesja01.html
238,terrence jones,j,joneste01,http://www.basketball-reference.com/players/j/joneste01.html
239,tyus jones,j,jonesty01,http://www.basketball-reference.com/players/j/jonesty01.html
240,deandre jordan,j,jordade01,http://www.basketball-reference.com/players/j/jordade01.html
241,cory joseph,j,josepco01,http://www.basketball-reference.com/players/j/josepco01.html
242,chris kaman,k,kamanch01,http://www.basketball-reference.com/players/k/kamanch01.html
243,frank kaminsky,k,kaminfr01,http://www.basketball-reference.com/players/k/kaminfr01.html
244,enes kanter,k,kanteen01,http://www.basketball-reference.com/players/k/kanteen01.html
245,sergey karasev,k,karasse01,http://www.basketball-reference.com/players/k/karasse01.html
246,sasha kaun,k,kaunsa01,http://www.basketball-reference.com/players/k/kaunsa01.html
247,ryan kelly,k,kellyry01,http://www.basketball-reference.com/players/k/kellyry01.html
248,michael kidd-gilchrist,k,kidd-mi01,http://www.basketball-reference.com/players/k/kidd-mi01.html
249,sean kilpatrick,k,kilpase01,http://www.basketball-reference.com/players/k/kilpase01.html
250,brandon knight,k,knighbr01,http://www.basketball-reference.com/players/k/knighbr01.html
251,kyle korver,k,korveky01,http://www.basketball-reference.com/players/k/korveky01.html
252,kosta koufos,k,koufoko01,http://www.basketball-reference.com/players/k/koufoko01.html
253,jeremy lamb,l,lambje01,http://www.basketball-reference.com/players/l/lambje01.html
254,carl landry,l,landrca01,http://www.basketball-reference.com/players/l/landrca01.html
255,shane larkin,l,larkish01,http://www.basketball-reference.com/players/l/larkish01.html
256,joffrey lauvergne,l,lauvejo01,http://www.basketball-reference.com/players/l/lauvejo01.html
257,zach lavine,l,lavinza01,http://www.basketball-reference.com/players/l/lavinza01.html
258,ty lawson,l,lawsoty01,http://www.basketball-reference.com/players/l/lawsoty01.html
259,courtney lee,l,leeco01,http://www.basketball-reference.com/players/l/leeco01.html
260,david lee,l,leeda01,http://www.basketball-reference.com/players/l/leeda01.html
261,alex len,l,lenal01,http://www.basketball-reference.com/players/l/lenal01.html
262,kawhi leonard,l,leonaka01,http://www.basketball-reference.com/players/l/leonaka01.html
263,meyers leonard,l,leoname01,http://www.basketball-reference.com/players/l/leoname01.html
264,jon leuer,l,leuerjo01,http://www.basketball-reference.com/players/l/leuerjo01.html
265,damian lillard,l,lillada01,http://www.basketball-reference.com/players/l/lillada01.html
266,jeremy lin,l,linje01,http://www.basketball-reference.com/players/l/linje01.html
267,shaun livingston,l,livinsh01,http://www.basketball-reference.com/players/l/livinsh01.html
268,kevon looney,l,looneke01,http://www.basketball-reference.com/players/l/looneke01.html
269,brook lopez,l,lopezbr01,http://www.basketball-reference.com/players/l/lopezbr01.html
270,robin lopez,l,lopezro01,http://www.basketball-reference.com/players/l/lopezro01.html
271,kevin love,l,loveke01,http://www.basketball-reference.com/players/l/loveke01.html
272,kyle lowry,l,lowryky01,http://www.basketball-reference.com/players/l/lowryky01.html
273,trey lyles,l,lylestr01,http://www.basketball-reference.com/players/l/lylestr01.html
274,shelvin mack,m,macksh01,http://www.basketball-reference.com/players/m/macksh01.html
