X1,X2,labels,Player,Status,Player_ID,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
-4.96189693,2.881329204,Floor Generals,Chris Paul,Active,paulch01,123,104,25.7,0.579,0.228,0.363,2.2,12.2,7.2,47.3,3.4,0.2,13.1,24,111.6,38.9,150.6,0.251,6.9,0.7,7.6,69.7
1.819292559,0.745535628,Offensive Centers,Chuck Hayes,Inactive,hayesch01,112,103,12.2,0.518,0.007,0.242,10.8,20.6,15.7,9.7,2.1,1.5,16.5,10.6,11.5,17.3,28.8,0.117,-1.6,2.9,1.2,9.7
-0.721118565,-1.12160813,3-and-D Wings,Cleanthony Early,Inactive,earlycl01,85,109,7.2,0.435,0.39,0.205,3.6,14.1,8.8,8.5,1.7,1.5,15,18.7,-1.1,0.5,-0.6,-0.039,-4.4,-1.3,-5.7,-0.8
3.263770706,0.792681511,Defensive Centers,Clint Capela,Active,capelca01,116,104,19.2,0.585,0.001,0.444,13.1,23.7,18.4,5.5,1.5,5.2,11.3,17.7,4.6,3.7,8.3,0.155,-1.2,1.5,0.3,1.5
2.215885355,0.09574753,Offensive Centers,Cody Zeller,Active,zelleco01,111,103,15.1,0.557,0.008,0.488,8.4,19.1,13.7,8.9,1.4,2.7,12.8,16.5,7.8,8.6,16.3,0.137,-1.7,2.1,0.4,3.5
3.845487243,1.613839571,Defensive Centers,Cole Aldrich,Active,aldrico01,110,101,17,0.568,0,0.297,11.3,27.1,19.1,8.8,2.1,5.7,17.7,15.2,3.9,5.7,9.6,0.141,-2.2,3.5,1.3,2.7
-1.047523616,-1.703298996,Shooting Wings,Corey Brewer,Active,breweco01,101,108,11.9,0.5,0.277,0.271,3.5,10,6.7,10.3,2.7,0.9,11.8,19,4.5,14.5,19,0.055,-1.1,0.1,-1,4.2
1.878073033,0.425253294,Offensive Centers,Cory Jefferson,Inactive,jeffeco01,102,106,13.2,0.476,0.085,0.317,10.2,20.8,15.5,4.4,0.9,3,8.5,18.4,0.3,0.6,0.9,0.071,-3.6,-1,-4.6,-0.4
-2.240380403,0.412629419,Scoring Wings,Cory Joseph,Active,josepco01,109,107,13.4,0.527,0.161,0.292,3,10.1,6.6,18.8,1.7,0.8,12.6,17.2,7.5,6.3,13.8,0.105,-0.5,-0.1,-0.6,2.2
-1.432963043,-1.418341855,Shooting Wings,Courtney Lee,Active,leeco01,108,108,12.1,0.548,0.335,0.174,1.9,9.1,5.5,9.2,1.9,0.8,9.7,16.1,17.1,15.8,33,0.088,-0.2,0,-0.2,8.3
2.398787519,1.386322941,Defensive Centers,Cristiano Felicio,Active,feliccr01,126,107,16.3,0.592,0.017,0.481,12.8,20.6,16.8,7.6,1.1,1.8,11,12.9,2.4,1.3,3.6,0.163,-0.3,0.6,0.3,0.6
-3.951204806,1.216074821,Combo Guards,D.J. Augustin,Active,augusdj01,109,110,14,0.543,0.425,0.318,1.2,7.4,4.3,27.2,1.3,0.1,14.5,19.9,20.9,10.2,31.1,0.099,1,-2.6,-1.6,1.5
-2.622907647,0.188410758,Scoring Wings,D'Angelo Russell,Active,russeda01,97,112,13.9,0.507,0.406,0.21,2.2,12,6.9,23.7,2.1,0.6,15.9,25,-0.6,1.4,0.8,0.011,0.2,-1.5,-1.3,0.6
-0.735951354,-1.025431762,Shooting Wings,Dahntay Jones,Inactive,jonesda02,101,109,9.5,0.519,0.118,0.408,3,9.6,6.3,8.6,1.4,1.1,13.6,17.2,2.4,7.5,9.9,0.048,-2.9,-0.7,-3.6,-4.1
-2.93456046,0.673115607,Combo Guards,Damian Lillard,Active,lillada01,113,110,19.8,0.561,0.407,0.307,1.7,10.3,6,28.8,1.3,0.6,12.4,27.3,33.1,8,41.1,0.145,4.5,-1.7,2.9,16.6
