,Status,Player,Pos,Player_ID,url,G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,Cluster
359,Active,Kevin Love,PF,loveke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/loveke01.html,562,22.0,0.566,0.417,10.6,29.1,19.7,12.3,1.1,1.1,10.8,24.6,3.0,0.1,3.1,0.443,12.7,0.696,0.3,0.183,0.088,0.125,0.304,0.477,0.592,0.398,0.353,0.402,0.365,0.562,0.03,0.943,0.206,0.394,9.5,21.4,0.443,2.4,6.5,0.365,7.1,14.9,0.477,7.3,8.9,0.82,4.8,13.0,17.9,3.7,1.1,0.7,3.1,3.3,28.7,116,105,7
360,Inactive,Kevin Martin,SG,martike02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/martike02.html,714,17.7,0.585,0.465,2.1,10.0,6.1,10.6,1.5,0.3,10.2,24.4,2.4,-2.4,0.1,0.437,15.2,0.662,0.204,0.11,0.122,0.225,0.338,0.464,0.629,0.393,0.399,0.387,0.384,0.508,0.037,0.87,0.224,0.452,9.1,20.8,0.437,2.7,7.0,0.384,6.4,13.8,0.464,8.4,9.7,0.87,0.9,4.4,5.4,3.2,1.5,0.2,2.8,3.2,29.3,115,111,5
361,Active,Kevin Seraphin,PF,serapke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/serapke01.html,408,12.0,0.507,0.148,8.8,16.7,12.8,6.5,0.7,3.7,15.4,20.4,-4.1,0.2,-3.9,0.488,8.1,0.997,0.252,0.393,0.23,0.122,0.003,0.489,0.654,0.462,0.389,0.422,0.0,0.61,0.07,0.0,0.0,0.0,9.0,18.5,0.488,0.0,0.0,0.0,9.0,18.4,0.489,2.0,2.7,0.713,4.0,7.7,11.7,2.0,0.7,2.4,3.6,7.2,20.0,96,105,0
362,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
363,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
364,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
365,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
366,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
367,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
368,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
369,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
370,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
371,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
372,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
373,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
374,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
375,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
376,Active,Kevon Looney,C,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
377,Inactive,Kevon Looney,PF,looneke01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/looneke01.html,48,14.6,0.609,0.333,11.2,19.4,15.6,7.6,1.5,3.0,11.3,12.7,-0.5,1.4,0.9,0.573,5.8,0.896,0.677,0.115,0.042,0.063,0.104,0.605,0.754,0.182,0.25,0.0,0.3,0.808,0.281,1.0,0.0,0.0,6.2,10.9,0.573,0.3,1.1,0.3,5.9,9.7,0.605,2.4,3.6,0.656,4.5,9.0,13.6,2.8,1.5,1.8,1.6,7.2,15.2,126,103,7
378,Active,Khris Middleton,SG,middlkh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/middlkh01.html,271,14.9,0.555,0.214,2.2,12.0,7.1,14.6,2.2,0.6,11.5,20.5,1.0,-1.0,0.0,0.45,15.4,0.681,0.164,0.118,0.163,0.237,0.319,0.472,0.604,0.398,0.455,0.429,0.401,0.549,0.017,0.941,0.324,0.455,8.5,19.0,0.45,2.4,6.0,0.401,6.1,12.9,0.472,3.5,4.1,0.872,1.0,5.4,6.3,4.5,2.2,0.3,2.7,4.3,23.0,108,108,5
379,Inactive,Kirk Hinrich,PG,hinriki01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hinriki01.html,879,12.8,0.516,0.208,1.3,9.5,5.4,25.7,1.9,0.7,14.8,18.2,0.3,-0.2,0.2,0.411,17.0,0.634,0.162,0.075,0.085,0.312,0.366,0.432,0.528,0.383,0.37,0.41,0.375,0.352,0.001,0.84,0.207,0.416,6.7,16.4,0.411,2.3,6.0,0.375,4.5,10.4,0.432,2.7,3.4,0.8,0.6,4.4,5.0,8.2,1.9,0.5,3.1,4.8,18.5,105,105,6
380,Active,Klay Thompson,SG,thompkl01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thompkl01.html,441,16.3,0.572,0.156,1.5,9.4,5.6,11.2,1.4,1.2,9.7,24.6,1.9,-1.4,0.5,0.453,17.1,0.565,0.158,0.082,0.123,0.203,0.435,0.478,0.662,0.335,0.408,0.436,0.42,0.673,0.013,0.933,0.267,0.456,10.6,23.4,0.453,4.3,10.2,0.42,6.3,13.2,0.478,3.1,3.7,0.851,0.7,4.4,5.1,3.4,1.4,0.8,2.7,3.4,28.6,108,107,1
381,Inactive,Kobe Bryant,SG,bryanko01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bryanko01.html,1346,22.9,0.55,0.382,3.5,12.7,8.1,24.2,2.1,1.0,11.6,31.8,4.4,-0.6,3.9,0.447,14.1,0.784,0.21,0.124,0.17,0.28,0.216,0.479,0.634,0.448,0.439,0.402,0.329,0.347,0.037,0.658,0.103,0.346,12.5,27.9,0.447,1.9,5.9,0.329,10.5,22.0,0.479,8.9,10.7,0.837,1.6,5.9,7.5,6.7,2.1,0.7,4.3,3.6,35.8,110,105,5
382,Active,Kosta Koufos,C,koufoko01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/koufoko01.html,560,15.4,0.548,0.229,12.3,21.8,17.1,3.8,1.3,4.0,11.9,16.1,-1.8,0.9,-0.9,0.535,4.5,0.998,0.5,0.399,0.059,0.04,0.002,0.535,0.654,0.439,0.327,0.308,0.0,0.711,0.082,0.0,0.25,0.0,7.9,14.7,0.535,0.0,0.0,0.0,7.9,14.7,0.535,2.0,3.4,0.599,5.4,9.8,15.2,1.3,1.3,2.5,2.2,6.4,17.7,110,104,0
383,Inactive,Kostas Papanikolaou,SF,papanko01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/papanko01.html,69,7.3,0.449,0.122,4.8,11.3,8.0,13.6,1.9,1.3,21.5,14.1,-3.4,0.6,-2.8,0.354,15.5,0.475,0.278,0.091,0.053,0.053,0.525,0.416,0.562,0.167,0.214,0.286,0.297,0.615,0.03,0.951,0.362,0.3,4.3,12.0,0.354,1.9,6.3,0.297,2.4,5.7,0.416,1.0,1.5,0.688,2.2,5.1,7.2,4.6,1.9,0.8,3.5,4.3,11.4,90,106,5
384,Active,Kris Dunn,PG,dunnkr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dunnkr01.html,53,7.4,0.42,0.245,2.1,13.3,7.6,21.1,2.7,2.3,23.9,14.9,-4.5,1.3,-3.2,0.363,13.8,0.76,0.24,0.147,0.083,0.289,0.24,0.394,0.49,0.4,0.294,0.339,0.265,0.23,0.029,0.615,0.286,0.286,4.3,11.7,0.363,0.7,2.8,0.265,3.5,8.9,0.394,1.7,2.9,0.58,0.9,5.7,6.6,7.8,2.7,1.4,4.1,6.3,10.9,86,109,6
385,Active,Kris Humphries,PF,humphkr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/humphkr01.html,788,15.4,0.516,0.362,11.2,24.2,17.6,6.5,1.2,2.5,11.8,18.9,-2.2,0.3,-1.9,0.465,8.8,0.961,0.4,0.162,0.177,0.222,0.039,0.472,0.601,0.343,0.374,0.413,0.291,0.698,0.122,0.961,0.217,0.237,7.7,16.5,0.465,0.2,0.7,0.291,7.5,15.9,0.472,4.2,6.0,0.7,5.1,10.8,15.9,2.0,1.2,1.7,2.6,5.4,19.8,106,105,0
386,Active,Kristaps Porzingis,PF,porzikr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/porzikr01.html,122,17.5,0.532,0.264,6.4,19.4,12.9,7.2,1.2,4.9,10.4,24.3,-0.3,0.4,0.1,0.433,13.7,0.7,0.213,0.171,0.177,0.139,0.3,0.466,0.628,0.342,0.438,0.407,0.356,0.621,0.076,0.983,0.11,0.389,9.7,22.4,0.433,2.4,6.7,0.356,7.3,15.7,0.466,4.8,5.9,0.814,3.0,9.1,12.1,2.2,1.2,3.2,2.9,5.4,26.6,105,106,7
387,Active,Kyle Anderson,SG,anderky01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderky01.html,162,11.9,0.503,0.278,2.6,19.4,11.2,12.5,2.4,1.9,14.4,13.4,-2.6,3.5,1.0,0.437,11.6,0.858,0.236,0.211,0.211,0.203,0.142,0.454,0.617,0.374,0.421,0.379,0.333,0.47,0.03,1.0,0.75,0.407,5.0,11.4,0.437,0.5,1.6,0.333,4.4,9.8,0.454,2.4,3.2,0.752,1.1,9.0,10.1,4.6,2.4,1.3,2.2,3.6,12.9,102,98,5
388,Active,Kyle Korver,SG,korveky01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/korveky01.html,1016,12.9,0.599,0.163,1.4,12.0,6.8,10.7,1.4,1.0,11.7,16.1,1.3,-0.3,1.0,0.443,20.7,0.41,0.061,0.023,0.076,0.25,0.59,0.461,0.602,0.352,0.417,0.45,0.431,0.843,0.003,0.965,0.287,0.472,6.7,15.1,0.443,3.8,8.9,0.431,2.9,6.2,0.461,2.2,2.5,0.879,0.6,5.4,6.0,3.6,1.4,0.7,2.1,4.2,19.4,113,107,1
389,Active,Kyle Lowry,PG,lowryky01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lowryky01.html,709,18.5,0.559,0.402,3.1,12.1,7.6,30.1,2.3,0.7,14.8,21.8,3.7,-0.1,3.6,0.424,15.1,0.596,0.251,0.139,0.069,0.138,0.404,0.464,0.588,0.386,0.358,0.37,0.365,0.239,0.0,0.634,0.137,0.367,7.7,18.1,0.424,2.7,7.3,0.365,5.0,10.8,0.464,5.8,7.3,0.799,1.4,5.4,6.8,9.6,2.3,0.4,3.7,4.6,23.8,114,108,6
390,Active,Kyle O'Quinn,PF,oquinky01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/oquinky01.html,298,17.1,0.536,0.216,10.4,24.4,17.4,12.5,1.5,5.1,15.9,18.9,-2.0,2.6,0.7,0.503,10.0,0.943,0.367,0.16,0.126,0.291,0.057,0.519,0.666,0.405,0.466,0.419,0.231,0.658,0.08,0.889,0.128,0.4,8.3,16.5,0.503,0.2,0.9,0.231,8.1,15.5,0.519,2.6,3.6,0.725,4.8,11.2,16.0,3.9,1.5,3.3,3.4,7.3,19.4,105,103,0
391,Active,Kyle Singler,SF,singlky01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/singlky01.html,339,9.6,0.529,0.211,4.5,10.2,7.3,5.2,1.3,1.1,11.3,13.9,-0.9,-0.7,-1.5,0.419,14.7,0.588,0.256,0.136,0.071,0.125,0.412,0.457,0.619,0.281,0.396,0.35,0.365,0.68,0.02,0.98,0.48,0.406,5.5,13.2,0.419,2.0,5.4,0.365,3.5,7.8,0.457,2.2,2.8,0.795,2.1,4.6,6.7,1.8,1.3,0.7,1.8,4.8,15.3,107,110,1
393,Active,Kyrie Irving,PG,irvinky01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/irvinky01.html,359,21.0,0.558,0.26,2.4,8.9,5.6,30.0,2.0,0.8,12.6,28.6,4.3,-1.4,2.9,0.454,13.6,0.715,0.265,0.131,0.144,0.176,0.285,0.484,0.595,0.362,0.447,0.437,0.379,0.234,0.003,0.543,0.165,0.393,11.7,25.8,0.454,2.8,7.4,0.379,8.9,18.5,0.484,5.8,6.7,0.87,1.1,4.0,5.1,8.4,2.0,0.5,4.1,3.3,32.1,111,109,6
395,Active,LaMarcus Aldridge,PF,aldrila01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aldrila01.html,773,20.4,0.535,0.273,8.8,19.1,14.0,10.1,1.2,2.3,8.1,25.7,0.7,0.5,1.2,0.487,11.1,0.978,0.242,0.203,0.199,0.333,0.022,0.491,0.699,0.437,0.41,0.422,0.28,0.574,0.065,0.909,0.349,0.323,11.8,24.3,0.487,0.2,0.5,0.28,11.7,23.8,0.491,5.3,6.6,0.803,4.0,8.7,12.7,2.9,1.2,1.6,2.4,3.9,29.2,111,105,7
396,Active,Lance Stephenson,SG,stephla01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stephla01.html,350,12.1,0.513,0.21,3.1,15.4,9.3,20.1,1.4,0.4,16.9,18.7,-1.3,0.9,-0.3,0.451,12.2,0.758,0.354,0.131,0.087,0.186,0.242,0.498,0.658,0.364,0.363,0.351,0.304,0.334,0.023,0.821,0.225,0.369,7.3,16.2,0.451,1.2,3.9,0.304,6.1,12.3,0.498,2.4,3.4,0.69,1.4,7.3,8.7,6.3,1.4,0.3,3.6,4.1,18.2,99,103,2
397,Active,Lance Thomas,PF,thomala01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thomala01.html,260,9.0,0.511,0.301,5.1,10.4,7.7,5.7,1.0,0.6,12.0,15.0,-2.6,-1.6,-4.2,0.428,11.5,0.85,0.277,0.2,0.128,0.243,0.15,0.434,0.573,0.321,0.442,0.363,0.399,0.643,0.032,0.932,0.568,0.394,5.8,13.4,0.428,0.8,2.0,0.399,5.0,11.4,0.434,3.2,4.0,0.795,2.3,4.8,7.1,1.9,1.0,0.4,2.1,4.8,15.5,102,112,1
398,Inactive,Landry Fields,SF,fieldla01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/fieldla01.html,255,12.1,0.539,0.252,4.7,16.4,10.5,10.8,1.8,0.6,14.4,14.0,-0.8,0.7,-0.1,0.473,10.4,0.75,0.404,0.187,0.076,0.084,0.25,0.52,0.673,0.325,0.336,0.38,0.332,0.599,0.084,0.992,0.374,0.356,5.8,12.3,0.473,1.0,3.1,0.332,4.8,9.3,0.52,2.1,3.1,0.666,2.1,7.2,9.3,3.6,1.8,0.4,2.3,2.6,14.8,107,107,1
399,Active,Langston Galloway,PG,gallola01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gallola01.html,182,11.7,0.494,0.158,2.4,12.0,7.2,14.6,1.9,0.7,8.3,17.6,-0.3,-0.7,-1.0,0.39,17.2,0.566,0.188,0.079,0.064,0.232,0.434,0.413,0.534,0.32,0.378,0.353,0.359,0.461,0.008,0.85,0.183,0.418,6.7,17.1,0.39,2.7,7.4,0.359,4.0,9.7,0.413,2.1,2.7,0.775,1.1,5.5,6.6,4.7,1.9,0.4,1.7,4.2,18.1,103,109,5
401,Active,Larry Nance Jr.,PF,nancela02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nancela02.html,102,14.3,0.561,0.184,8.3,18.7,13.3,7.5,2.3,1.8,12.1,12.8,-1.3,1.3,-0.1,0.539,8.2,0.955,0.455,0.169,0.098,0.235,0.045,0.559,0.711,0.477,0.34,0.417,0.13,0.743,0.196,1.0,0.348,0.125,6.4,11.9,0.539,0.1,0.5,0.13,6.3,11.3,0.559,1.5,2.2,0.702,3.9,8.3,12.3,2.4,2.3,1.1,1.8,5.1,14.4,114,109,3
402,Inactive,Larry Sanders,C,sandela01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sandela01.html,233,15.5,0.494,0.235,11.0,21.4,16.1,6.0,1.7,7.1,12.6,17.0,-3.1,3.8,0.6,0.48,5.6,0.996,0.582,0.175,0.115,0.124,0.004,0.482,0.612,0.295,0.288,0.318,0.0,0.654,0.176,0.0,0.0,0.0,7.4,15.5,0.48,0.0,0.1,0.0,7.4,15.4,0.482,2.0,3.6,0.55,5.3,9.7,14.9,1.9,1.7,4.8,2.5,7.4,16.9,101,99,0
403,Active,Lavoy Allen,PF,allenla01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/allenla01.html,369,12.3,0.49,0.156,11.0,18.2,14.6,8.4,0.9,2.4,11.9,14.0,-2.6,1.2,-1.4,0.47,9.6,0.991,0.302,0.244,0.135,0.311,0.009,0.473,0.654,0.473,0.328,0.361,0.133,0.727,0.044,1.0,0.067,0.0,6.1,13.0,0.47,0.0,0.1,0.133,6.1,12.9,0.473,1.4,2.0,0.678,5.1,8.3,13.4,2.8,0.9,1.6,1.9,5.2,13.7,106,105,0
404,Active,Leandro Barbosa,SG,barbole01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/barbole01.html,836,15.2,0.56,0.204,2.0,8.3,5.3,15.1,1.9,0.5,11.6,22.2,1.3,-1.6,-0.3,0.46,13.3,0.654,0.347,0.094,0.067,0.146,0.346,0.497,0.62,0.323,0.356,0.385,0.389,0.463,0.001,0.866,0.322,0.424,9.3,20.3,0.46,2.7,7.0,0.389,6.6,13.3,0.497,3.4,4.1,0.82,0.9,3.8,4.7,4.9,1.9,0.3,2.9,4.5,24.8,109,109,5
405,Active,LeBron James,SF,jamesle01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jamesle01.html,1040,27.6,0.583,0.421,3.7,17.8,10.9,34.9,2.3,1.6,12.8,31.5,7.3,1.9,9.1,0.5,12.0,0.795,0.351,0.121,0.102,0.22,0.205,0.54,0.728,0.427,0.362,0.387,0.342,0.356,0.079,0.488,0.147,0.391,13.3,26.6,0.5,1.9,5.5,0.342,11.4,21.1,0.54,8.3,11.2,0.742,1.6,8.1,9.7,9.5,2.3,1.0,4.6,2.5,36.7,116,103,2
