,Unnamed: 0,Player,Pos,Player_ID,url,Cluster,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
717,573,Shawn Marion,SF,mariosh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mariosh01.html,5,1163.0,1062.0,34.5,6.3,12.9,0.484,0.7,2.1,0.331,5.6,10.9,0.513,0.51,2.0,2.5,0.81,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2
718,574,Shawne Williams,SF,willish03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willish03.html,5,314.0,58.0,17.1,2.1,5.1,0.403,0.9,2.6,0.339,1.2,2.5,0.469,0.489,0.6,0.8,0.755,0.8,2.2,3.0,0.7,0.4,0.5,0.6,2.1,5.6
719,577,Shelvin Mack,PG,macksh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/macksh01.html,0,321.0,50.0,17.3,2.5,5.8,0.424,0.6,1.9,0.323,1.8,3.9,0.475,0.478,0.7,0.9,0.748,0.2,1.6,1.9,2.9,0.6,0.0,1.2,1.2,6.2
720,580,Solomon Hill,SF,hillso01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hillso01.html,3,225.0,128.0,22.5,2.1,5.3,0.405,0.7,2.1,0.335,1.4,3.2,0.452,0.473,1.2,1.4,0.825,0.7,2.6,3.2,1.6,0.7,0.2,1.0,1.7,6.2
721,581,Sonny Weems,SG-SF,weemsso01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/weemsso01.html,7,183.0,47.0,18.2,2.8,6.0,0.465,0.2,0.7,0.283,2.6,5.4,0.487,0.48,0.7,1.0,0.702,0.5,1.7,2.2,1.4,0.5,0.2,1.1,1.5,6.5
722,582,Spencer Dinwiddie,PG,dinwisp01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dinwisp01.html,0,79.0,17.0,16.7,1.8,4.9,0.368,0.4,1.6,0.268,1.4,3.4,0.414,0.41,1.4,1.7,0.797,0.3,1.7,1.9,2.8,0.5,0.2,1.0,1.8,5.5
723,583,Spencer Hawes,PF,hawessp01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hawessp01.html,1,665.0,368.0,23.1,3.6,8.0,0.456,0.5,1.5,0.35,3.1,6.5,0.481,0.489,1.0,1.4,0.715,1.5,4.3,5.8,1.9,0.4,1.0,1.4,2.5,8.8
724,584,Stanley Johnson,SF,johnsst04,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsst04.html,3,127.0,6.0,20.4,2.5,6.5,0.38,0.7,2.3,0.306,1.8,4.2,0.422,0.435,0.8,1.1,0.746,0.6,2.7,3.4,1.5,0.7,0.2,1.3,2.1,6.5
725,585,Stephen Curry,PG,curryst01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/curryst01.html,0,551.0,545.0,34.7,7.9,16.7,0.477,3.3,7.5,0.44,4.6,9.2,0.507,0.576,3.5,3.8,0.903,0.7,3.7,4.3,6.8,1.8,0.2,3.2,2.5,22.7
726,587,Steve Blake,PG,blakest01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/blakest01.html,0,870.0,347.0,23.9,2.4,5.9,0.401,1.2,3.1,0.383,1.2,2.8,0.42,0.501,0.6,0.7,0.779,0.3,1.8,2.1,4.0,0.7,0.1,1.4,1.5,6.5
