,Season,Player,Player_ID,Pos,url,Player_ID1,Games_,Minutes_Played,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
275,Active,Jeff Green,greenje02,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenje02.html,greenje02,693.0,21680.0,13.1,0.527,0.264,0.288,3.6,13.7,8.6,8.5,1.3,1.4,11.2,20.9,12.3,20.2,32.6,0.072,0.0,-0.4,-1.3,4.1,693.0,21680.0,0.435,12.4,0.736,0.296,0.178,0.094,0.168,0.264,0.472,0.632,0.381,0.349,0.353,0.334,0.491,0.058,416.0,0.926,0.322,0.392,34.0,0.0
276,Inactive,Jeff Green,greenje02,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenje02.html,greenje02,693.0,21680.0,13.1,0.527,0.264,0.288,3.6,13.7,8.6,8.5,1.3,1.4,11.2,20.9,12.3,20.2,32.6,0.072,0.0,-0.4,-1.3,4.1,693.0,21680.0,0.435,12.4,0.736,0.296,0.178,0.094,0.168,0.264,0.472,0.632,0.381,0.349,0.353,0.334,0.491,0.058,416.0,0.926,0.322,0.392,34.0,0.0
277,Active,Jeff Teague,teaguje01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/teaguje01.html,teaguje01,575.0,15374.0,17.3,0.548,0.235,0.325,1.4,8.6,5.0,33.2,2.3,1.0,16.5,23.3,21.7,17.0,38.7,0.121,0.0,-0.8,0.1,8.1,575.0,15374.0,0.448,10.8,0.765,0.34,0.231,0.092,0.103,0.235,0.477,0.59,0.387,0.411,0.363,0.354,0.193,0.021,110.0,0.653,0.098,0.389,7.0,0.0
278,Active,Jeff Withey,witheje01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/witheje01.html,witheje01,178.0,1853.0,16.8,0.581,0.01,0.513,9.7,18.9,14.3,4.9,1.4,6.4,12.1,14.1,3.3,2.7,6.0,0.156,0.0,2.5,0.7,1.2,178.0,1853.0,0.528,4.1,0.99,0.626,0.242,0.081,0.039,0.01,0.533,0.605,0.364,0.545,0.438,0.0,0.801,0.169,56.0,0.0,0.0,0.0,2.0,0.0
279,Active,Jerami Grant,grantje01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grantje01.html,grantje01,199.0,4652.0,10.9,0.506,0.318,0.524,3.9,13.1,8.4,8.4,1.3,4.4,13.2,16.1,0.6,4.5,5.1,0.052,0.0,1.2,-2.1,-0.1,198.0,4632.0,0.409,10.7,0.681,0.42,0.16,0.043,0.057,0.319,0.459,0.606,0.223,0.154,0.275,0.301,0.664,0.126,140.0,0.983,0.422,0.356,0.0,0.0
280,Active,Jeremy Lamb,lambje01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lambje01.html,lambje01,251.0,4179.0,14.7,0.525,0.381,0.176,2.7,16.2,9.5,11.1,1.6,1.5,8.2,21.5,3.9,5.2,9.2,0.105,0.0,-0.9,-1.5,0.6,251.0,4179.0,0.433,15.0,0.619,0.217,0.137,0.12,0.144,0.381,0.5,0.658,0.418,0.411,0.419,0.324,0.481,0.028,44.0,0.822,0.202,0.286,8.0,0.0
281,Inactive,Jeremy Lamb,lambje01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lambje01.html,lambje01,251.0,4179.0,14.7,0.525,0.381,0.176,2.7,16.2,9.5,11.1,1.6,1.5,8.2,21.5,3.9,5.2,9.2,0.105,0.0,-0.9,-1.5,0.6,251.0,4179.0,0.433,15.0,0.619,0.217,0.137,0.12,0.144,0.381,0.5,0.658,0.418,0.411,0.419,0.324,0.481,0.028,44.0,0.822,0.202,0.286,8.0,0.0
282,Active,Jeremy Lin,linje01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/linje01.html,linje01,382.0,10189.0,15.3,0.545,0.288,0.383,1.8,9.8,5.8,26.8,2.2,1.2,18.0,21.8,10.7,9.3,20.0,0.094,0.0,-0.4,-0.1,4.8,381.0,10174.0,0.433,12.6,0.712,0.307,0.173,0.078,0.153,0.288,0.469,0.599,0.366,0.359,0.38,0.345,0.287,0.003,11.0,0.749,0.144,0.39,1.0,0.0
283,Inactive,Jeremy Lin,linje01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/linje01.html,linje01,382.0,10189.0,15.3,0.545,0.288,0.383,1.8,9.8,5.8,26.8,2.2,1.2,18.0,21.8,10.7,9.3,20.0,0.094,0.0,-0.4,-0.1,4.8,381.0,10174.0,0.433,12.6,0.712,0.307,0.173,0.078,0.153,0.288,0.469,0.599,0.366,0.359,0.38,0.345,0.287,0.003,11.0,0.749,0.144,0.39,1.0,0.0
284,Active,Jerian Grant,grantje02,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grantje02.html,grantje02,122.0,2022.0,11.2,0.499,0.314,0.298,1.8,9.7,5.8,18.9,2.1,0.6,15.2,18.0,0.4,1.7,2.1,0.05,0.0,-1.0,-2.8,-0.4,122.0,2022.0,0.398,13.1,0.686,0.304,0.124,0.116,0.141,0.314,0.451,0.538,0.382,0.408,0.36,0.281,0.317,0.015,9.0,0.796,0.182,0.429,2.0,0.0
285,Active,Jerryd Bayless,bayleje01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bayleje01.html,bayleje01,513.0,10904.0,12.8,0.526,0.309,0.303,1.6,10.2,5.9,22.1,1.6,0.5,15.2,20.7,8.8,8.8,17.6,0.078,0.0,-1.5,-1.7,0.7,513.0,10904.0,0.414,15.2,0.691,0.238,0.09,0.063,0.301,0.309,0.436,0.559,0.32,0.376,0.386,0.366,0.345,0.022,68.0,0.897,0.312,0.383,5.0,0.0
286,Inactive,Jerryd Bayless,bayleje01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bayleje01.html,bayleje01,513.0,10904.0,12.8,0.526,0.309,0.303,1.6,10.2,5.9,22.1,1.6,0.5,15.2,20.7,8.8,8.8,17.6,0.078,0.0,-1.5,-1.7,0.7,513.0,10904.0,0.414,15.2,0.691,0.238,0.09,0.063,0.301,0.309,0.436,0.559,0.32,0.376,0.386,0.366,0.345,0.022,68.0,0.897,0.312,0.383,5.0,0.0
287,Active,Jimmy Butler,butleji01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butleji01.html,butleji01,374.0,11938.0,18.9,0.566,0.228,0.505,4.9,11.4,8.2,15.2,2.3,1.0,9.3,20.6,29.0,15.7,44.7,0.18,0.0,1.0,3.7,17.0,374.0,11938.0,0.446,12.7,0.772,0.317,0.11,0.121,0.223,0.228,0.481,0.633,0.359,0.397,0.37,0.329,0.504,0.058,221.0,0.84,0.268,0.418,18.0,1.0
288,Inactive,Jimmy Butler,butleji01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butleji01.html,butleji01,374.0,11938.0,18.9,0.566,0.228,0.505,4.9,11.4,8.2,15.2,2.3,1.0,9.3,20.6,29.0,15.7,44.7,0.18,0.0,1.0,3.7,17.0,374.0,11938.0,0.446,12.7,0.772,0.317,0.11,0.121,0.223,0.228,0.481,0.633,0.359,0.397,0.37,0.329,0.504,0.058,221.0,0.84,0.268,0.418,18.0,1.0
289,Active,Joakim Noah,noahjo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/noahjo01.html,noahjo01,618.0,17863.0,17.6,0.539,0.003,0.428,13.1,23.1,18.2,16.0,1.5,3.5,17.2,15.8,26.7,32.8,59.5,0.16,0.0,4.0,4.2,27.8,618.0,17863.0,0.49,4.6,0.997,0.646,0.187,0.039,0.123,0.003,0.492,0.569,0.332,0.391,0.37,0.0,0.604,0.129,508.0,0.0,0.067,0.0,4.0,0.0
290,Active,Jodie Meeks,meeksjo01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/meeksjo01.html,meeksjo01,442.0,10669.0,12.9,0.567,0.522,0.248,1.3,8.7,5.0,7.3,1.8,0.2,8.6,17.6,13.8,7.9,21.8,0.098,0.0,-1.3,-0.3,4.5,442.0,10669.0,0.422,17.0,0.478,0.211,0.081,0.067,0.119,0.522,0.473,0.617,0.331,0.4,0.355,0.375,0.747,0.018,55.0,0.932,0.233,0.375,5.0,1.0
291,Active,Joe Harris,harrijo01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrijo01.html,harrijo01,105.0,1589.0,8.1,0.554,0.633,0.136,1.5,11.0,6.3,7.7,1.1,0.4,13.9,15.8,0.2,0.6,0.8,0.025,0.0,-1.9,-3.5,-0.6,104.0,1565.0,0.422,17.7,0.368,0.223,0.065,0.024,0.058,0.632,0.494,0.544,0.433,0.455,0.37,0.38,0.726,0.006,3.0,0.937,0.322,0.404,0.0,0.0
292,Active,Joe Ingles,inglejo01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/inglejo01.html,inglejo01,218.0,4193.0,10.9,0.573,0.631,0.113,1.5,12.0,6.8,15.3,2.4,0.4,18.8,13.3,2.9,5.3,8.2,0.094,0.0,0.9,0.7,2.9,217.0,4167.0,0.436,19.1,0.368,0.136,0.069,0.034,0.129,0.632,0.512,0.762,0.313,0.452,0.37,0.391,0.345,0.012,11.0,0.878,0.347,0.448,3.0,0.0
293,Active,Joe Johnson,johnsjo02,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsjo02.html,johnsjo02,1199.0,42446.0,15.7,0.531,0.297,0.198,2.8,10.2,6.5,19.9,1.3,0.4,11.3,22.7,56.2,24.4,80.6,0.091,0.0,-1.3,0.5,26.6,1199.0,42446.0,0.442,14.8,0.703,0.16,0.192,0.127,0.224,0.297,0.472,0.59,0.501,0.425,0.388,0.373,0.317,0.009,138.0,0.856,0.368,0.406,50.0,3.0
294,Inactive,Joe Johnson,johnsjo02,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsjo02.html,johnsjo02,1199.0,42446.0,15.7,0.531,0.297,0.198,2.8,10.2,6.5,19.9,1.3,0.4,11.3,22.7,56.2,24.4,80.6,0.091,0.0,-1.3,0.5,26.6,1199.0,42446.0,0.442,14.8,0.703,0.16,0.192,0.127,0.224,0.297,0.472,0.59,0.501,0.425,0.388,0.373,0.317,0.009,138.0,0.856,0.368,0.406,50.0,3.0
295,Active,Joe Young,youngjo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/y/youngjo01.html,youngjo01,66.0,505.0,10.3,0.429,0.294,0.162,1.5,12.3,7.0,25.0,1.9,0.0,12.8,25.3,-0.7,0.6,-0.1,-0.013,0.0,-2.1,-5.7,-0.5,66.0,505.0,0.366,15.3,0.706,0.196,0.119,0.094,0.302,0.294,0.428,0.565,0.357,0.318,0.394,0.217,0.197,0.03,6.0,0.6,0.188,0.231,1.0,0.0
296,Active,Joel Anthony,anthojo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anthojo01.html,anthojo01,480.0,6990.0,9.7,0.557,0.0,0.52,9.7,12.9,11.3,2.0,1.0,6.1,19.2,7.8,5.1,10.1,15.2,0.104,0.0,3.2,0.1,3.8,480.0,6990.0,0.512,4.0,1.0,0.553,0.339,0.094,0.014,0.0,0.512,0.633,0.373,0.375,0.0,0.0,0.651,0.172,109.0,0.0,0.0,0.0,0.0,0.0
297,Inactive,Joel Anthony,anthojo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anthojo01.html,anthojo01,480.0,6990.0,9.7,0.557,0.0,0.52,9.7,12.9,11.3,2.0,1.0,6.1,19.2,7.8,5.1,10.1,15.2,0.104,0.0,3.2,0.1,3.8,480.0,6990.0,0.512,4.0,1.0,0.553,0.339,0.094,0.014,0.0,0.512,0.633,0.373,0.375,0.0,0.0,0.651,0.172,109.0,0.0,0.0,0.0,0.0,0.0
298,Active,Joel Bolomboy,bolomjo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bolomjo01.html,bolomjo01,9.0,20.0,22.7,0.592,0.2,0.8,6.0,50.3,28.8,8.2,2.6,4.1,12.9,18.2,0.0,0.1,0.1,0.215,0.0,4.1,0.4,0.0,9.0,20.0,0.6,9.8,0.8,0.4,0.2,0.0,0.2,0.2,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
299,Active,Joel Embiid,embiijo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/embiijo01.html,embiijo01,31.0,786.0,24.2,0.584,0.228,0.569,8.5,25.6,17.0,16.4,1.7,7.8,17.9,36.2,0.5,1.5,2.0,0.121,0.0,3.4,3.6,1.1,31.0,786.0,0.466,11.1,0.772,0.324,0.189,0.172,0.086,0.228,0.495,0.64,0.37,0.365,0.486,0.367,0.53,0.065,25.0,0.972,0.02,0.0,0.0,0.0
300,Active,Joffrey Lauvergne,lauvejo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lauvejo01.html,lauvejo01,133.0,2048.0,14.0,0.54,0.206,0.217,8.2,21.5,14.8,9.4,0.9,1.2,12.8,18.9,2.0,1.8,3.7,0.088,0.0,-1.0,-2.8,-0.4,133.0,2048.0,0.48,9.5,0.794,0.404,0.224,0.046,0.119,0.206,0.528,0.635,0.419,0.364,0.435,0.293,0.699,0.107,68.0,0.977,0.333,0.286,2.0,0.0
301,Active,John Henson,hensojo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hensojo01.html,hensojo01,303.0,5801.0,17.5,0.549,0.003,0.342,10.8,19.8,15.3,8.8,1.2,6.6,14.4,19.3,5.6,7.5,13.1,0.108,0.0,2.3,0.5,3.6,303.0,5801.0,0.534,4.6,0.997,0.507,0.373,0.06,0.055,0.003,0.535,0.655,0.454,0.286,0.252,0.0,0.699,0.125,213.0,0.0,0.167,0.0,1.0,0.0
302,Inactive,John Henson,hensojo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hensojo01.html,hensojo01,303.0,5801.0,17.5,0.549,0.003,0.342,10.8,19.8,15.3,8.8,1.2,6.6,14.4,19.3,5.6,7.5,13.1,0.108,0.0,2.3,0.5,3.6,303.0,5801.0,0.534,4.6,0.997,0.507,0.373,0.06,0.055,0.003,0.535,0.655,0.454,0.286,0.252,0.0,0.699,0.125,213.0,0.0,0.167,0.0,1.0,0.0
303,Active,John Jenkins,jenkijo01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jenkijo01.html,jenkijo01,145.0,1850.0,12.0,0.563,0.435,0.198,1.9,11.1,6.5,9.9,0.9,0.5,11.6,18.2,1.6,1.2,2.7,0.071,0.0,-2.2,-3.6,-0.7,145.0,1850.0,0.448,17.2,0.565,0.17,0.075,0.055,0.265,0.435,0.513,0.676,0.356,0.424,0.472,0.364,0.672,0.002,1.0,0.863,0.287,0.387,0.0,0.0
304,Active,John Lucas III,lucasjo02,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lucasjo02.html,lucasjo02,242.0,2927.0,11.8,0.467,0.4,0.084,2.2,7.1,4.6,20.9,1.6,0.1,9.4,21.3,1.3,2.1,3.4,0.055,0.0,-2.8,-3.4,-1.0,242.0,2927.0,0.383,17.3,0.6,0.1,0.141,0.123,0.235,0.4,0.409,0.563,0.389,0.39,0.366,0.344,0.206,0.0,0.0,0.755,0.249,0.407,1.0,0.0
305,Active,John Wall,walljo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/walljo01.html,walljo01,475.0,17135.0,19.3,0.516,0.167,0.342,1.8,12.3,7.0,42.2,2.4,1.4,17.5,27.0,17.7,20.1,37.8,0.106,0.0,0.5,2.4,19.0,475.0,17135.0,0.432,12.5,0.833,0.318,0.102,0.112,0.3,0.167,0.455,0.616,0.323,0.362,0.364,0.319,0.194,0.032,233.0,0.668,0.146,0.293,23.0,0.0
306,Active,Johnny O'Bryant,obryajo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/obryajo01.html,obryajo01,107.0,1271.0,6.6,0.426,0.012,0.206,8.7,13.8,11.3,5.9,0.9,0.9,13.6,15.3,-0.9,0.8,-0.1,-0.005,0.0,-1.7,-6.8,-1.5,107.0,1271.0,0.398,9.8,0.988,0.326,0.169,0.116,0.378,0.012,0.394,0.509,0.31,0.275,0.369,0.75,0.746,0.038,12.0,1.0,0.25,1.0,0.0,0.0
307,Active,Jon Leuer,leuerjo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leuerjo01.html,leuerjo01,305.0,4883.0,15.2,0.549,0.193,0.198,6.6,21.0,13.7,8.5,1.2,1.5,10.3,18.6,6.2,5.7,11.8,0.116,0.0,0.1,-0.8,1.5,305.0,4883.0,0.487,12.0,0.807,0.282,0.158,0.169,0.198,0.193,0.519,0.726,0.393,0.465,0.369,0.353,0.696,0.072,111.0,0.991,0.184,0.25,1.0,0.0
308,Active,Jonas Jerebko,jerebjo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jerebjo01.html,jerebjo01,466.0,8669.0,13.3,0.546,0.296,0.251,8.0,17.5,12.6,6.5,1.6,1.1,11.8,15.9,10.6,7.8,18.4,0.102,0.0,-0.4,-0.9,2.4,466.0,8669.0,0.458,11.6,0.704,0.393,0.151,0.041,0.117,0.296,0.502,0.616,0.322,0.327,0.415,0.352,0.685,0.048,104.0,0.992,0.278,0.408,6.0,0.0
309,Active,Jonas Valanciunas,valanjo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/valanjo01.html,valanjo01,338.0,8898.0,18.7,0.603,0.001,0.398,11.8,25.5,18.6,4.2,0.7,3.3,13.5,19.0,19.5,11.3,30.8,0.166,0.0,0.0,-0.6,3.2,338.0,8898.0,0.552,5.2,0.999,0.475,0.345,0.102,0.078,0.001,0.553,0.654,0.494,0.416,0.376,0.0,0.584,0.119,297.0,0.0,0.0,0.0,0.0,0.0
310,Active,Jonathan Gibson,gibsojo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gibsojo01.html,gibsojo01,17.0,231.0,9.7,0.492,0.474,0.305,0.5,11.2,5.6,18.7,1.8,0.0,16.3,26.4,-0.3,0.2,-0.1,-0.029,0.0,-2.2,-5.5,-0.2,17.0,231.0,0.368,17.8,0.526,0.179,0.063,0.095,0.189,0.474,0.4,0.412,0.333,0.556,0.333,0.333,0.3,0.0,0.0,0.8,0.044,0.5,1.0,0.0
311,Active,Jonathon Simmons,simmojo02,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/simmojo02.html,simmojo02,107.0,1755.0,11.3,0.551,0.212,0.363,2.0,11.7,7.0,11.7,1.7,1.1,15.0,18.3,0.9,2.8,3.6,0.099,0.0,0.8,-1.0,0.4,107.0,1755.0,0.467,10.1,0.788,0.417,0.174,0.058,0.137,0.212,0.502,0.634,0.322,0.433,0.366,0.336,0.527,0.106,47.0,1.0,0.427,0.383,4.0,0.0
312,Active,Jordan Clarkson,clarkjo01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/clarkjo01.html,clarkjo01,196.0,5615.0,14.7,0.522,0.275,0.197,3.5,9.7,6.5,16.1,1.9,0.4,11.6,22.9,3.9,1.5,5.4,0.046,0.0,-1.9,-1.5,0.8,196.0,5615.0,0.442,12.7,0.725,0.264,0.194,0.107,0.16,0.275,0.482,0.597,0.426,0.42,0.401,0.336,0.28,0.028,59.0,0.769,0.179,0.288,3.0,0.0
313,Inactive,Jordan Clarkson,clarkjo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/clarkjo01.html,clarkjo01,196.0,5615.0,14.7,0.522,0.275,0.197,3.5,9.7,6.5,16.1,1.9,0.4,11.6,22.9,3.9,1.5,5.4,0.046,0.0,-1.9,-1.5,0.8,196.0,5615.0,0.442,12.7,0.725,0.264,0.194,0.107,0.16,0.275,0.482,0.597,0.426,0.42,0.401,0.336,0.28,0.028,59.0,0.769,0.179,0.288,3.0,0.0
314,Active,Jordan Farmar,farmajo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/farmajo01.html,farmajo01,504.0,9840.0,13.3,0.528,0.452,0.151,1.9,9.2,5.5,23.6,2.0,0.4,15.9,20.0,5.9,8.0,13.9,0.068,0.0,-1.6,-1.4,1.6,504.0,9840.0,0.423,15.9,0.548,0.251,0.073,0.067,0.156,0.452,0.463,0.574,0.34,0.336,0.398,0.374,0.387,0.014,43.0,0.731,0.205,0.395,8.0,0.0
315,Active,Jordan Hill,hilljo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hilljo01.html,hilljo01,407.0,7685.0,16.3,0.529,0.008,0.27,12.5,21.9,17.2,7.0,1.0,2.6,12.2,20.1,8.7,7.7,16.4,0.103,0.0,-0.2,-2.0,0.1,407.0,7685.0,0.497,8.4,0.992,0.341,0.284,0.127,0.236,0.008,0.499,0.673,0.447,0.388,0.374,0.136,0.582,0.083,209.0,0.333,0.318,0.286,4.0,0.0
316,Inactive,Jordan Hill,hilljo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hilljo01.html,hilljo01,407.0,7685.0,16.3,0.529,0.008,0.27,12.5,21.9,17.2,7.0,1.0,2.6,12.2,20.1,8.7,7.7,16.4,0.103,0.0,-0.2,-2.0,0.1,407.0,7685.0,0.497,8.4,0.992,0.341,0.284,0.127,0.236,0.008,0.499,0.673,0.447,0.388,0.374,0.136,0.582,0.083,209.0,0.333,0.318,0.286,4.0,0.0
317,Active,Jordan McRae,mcraejo01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcraejo01.html,mcraejo01,59.0,579.0,11.2,0.509,0.32,0.272,1.9,9.4,5.7,11.9,0.9,1.0,10.2,21.6,0.2,0.4,0.6,0.05,0.0,-2.7,-5.4,-0.5,59.0,579.0,0.404,13.5,0.68,0.289,0.123,0.145,0.123,0.32,0.413,0.5,0.286,0.242,0.536,0.384,0.313,0.031,5.0,0.786,0.356,0.423,2.0,0.0
318,Inactive,Jordan McRae,mcraejo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcraejo01.html,mcraejo01,59.0,579.0,11.2,0.509,0.32,0.272,1.9,9.4,5.7,11.9,0.9,1.0,10.2,21.6,0.2,0.4,0.6,0.05,0.0,-2.7,-5.4,-0.5,59.0,579.0,0.404,13.5,0.68,0.289,0.123,0.145,0.123,0.32,0.413,0.5,0.286,0.242,0.536,0.384,0.313,0.031,5.0,0.786,0.356,0.423,2.0,0.0
319,Active,Jordan Mickey,mickejo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mickejo01.html,mickejo01,32.0,173.0,12.3,0.46,0.02,0.392,11.4,14.8,13.1,5.1,0.6,6.4,11.8,17.2,0.0,0.2,0.2,0.056,0.0,1.0,-4.3,-0.1,32.0,173.0,0.431,4.6,0.98,0.667,0.157,0.039,0.118,0.02,0.44,0.529,0.125,0.5,0.333,0.0,0.682,0.196,9.0,0.0,1.0,0.0,0.0,0.0
320,Active,Jose Calderon,caldejo01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/caldejo01.html,caldejo01,772.0,21850.0,16.3,0.574,0.342,0.166,1.4,9.1,5.3,35.0,1.6,0.2,16.1,16.3,45.8,9.9,55.7,0.122,0.0,-2.3,-0.1,10.2,772.0,21850.0,0.473,17.0,0.658,0.192,0.026,0.074,0.366,0.342,0.506,0.652,0.368,0.412,0.458,0.411,0.228,0.0,3.0,0.855,0.152,0.441,9.0,1.0
321,Inactive,Jose Calderon,caldejo01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/caldejo01.html,caldejo01,772.0,21850.0,16.3,0.574,0.342,0.166,1.4,9.1,5.3,35.0,1.6,0.2,16.1,16.3,45.8,9.9,55.7,0.122,0.0,-2.3,-0.1,10.2,772.0,21850.0,0.473,17.0,0.658,0.192,0.026,0.074,0.366,0.342,0.506,0.652,0.368,0.412,0.458,0.411,0.228,0.0,3.0,0.855,0.152,0.441,9.0,1.0
322,Active,Josh Huestis,huestjo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/huestjo01.html,huestjo01,6.0,62.0,12.9,0.591,0.5,0.25,7.3,16.9,12.3,4.2,0.8,3.7,14.5,14.3,0.0,0.1,0.1,0.081,0.0,-1.5,-3.1,0.0,6.0,62.0,0.5,17.2,0.5,0.125,0.125,0.063,0.188,0.5,0.375,1.0,0.0,0.0,0.333,0.625,1.0,0.125,2.0,1.0,0.375,0.667,0.0,0.0
323,Active,Josh McRoberts,mcrobjo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcrobjo01.html,mcrobjo01,431.0,8265.0,13.2,0.539,0.292,0.222,6.4,16.5,11.4,16.8,1.4,1.8,15.0,13.9,9.1,9.3,18.4,0.107,0.0,1.3,1.0,6.2,431.0,8265.0,0.464,11.9,0.708,0.381,0.137,0.055,0.134,0.292,0.514,0.654,0.344,0.385,0.347,0.341,0.673,0.123,224.0,0.974,0.129,0.311,2.0,0.0
324,Inactive,Josh McRoberts,mcrobjo01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcrobjo01.html,mcrobjo01,431.0,8265.0,13.2,0.539,0.292,0.222,6.4,16.5,11.4,16.8,1.4,1.8,15.0,13.9,9.1,9.3,18.4,0.107,0.0,1.3,1.0,6.2,431.0,8265.0,0.464,11.9,0.708,0.381,0.137,0.055,0.134,0.292,0.514,0.654,0.344,0.385,0.347,0.341,0.673,0.123,224.0,0.974,0.129,0.311,2.0,0.0
