unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
1001.111,9,107,99.8,100.5,-0.6,52.2,1.04,16,22.8,77.3,52.5,0.2,52.7,55.8,101.51,51.4
10200.101,38,107,97,90.3,6.6,59.7,1.08,15.3,31,79.6,55.1,0.2,46.5,50.7,91.75,54.1
12001.1,12,107,86,111.2,-25.1,58.1,1.3,15.6,20.2,83.1,49.7,0.2,43.5,46,95.41,36.2
10101.2,15,106,118.5,115.3,3.1,54.7,2.26,17.5,28.7,66.3,46,0.1,53.8,57.6,97.46,50.1
10100.111,7,106,105,120,-15,54.4,1.95,16,27.7,72.6,48.9,0.1,48.1,51.4,89.95,39.4
11000.111,9,105,110.6,106.5,4.1,38.9,1.17,12.2,40.8,77,57.4,0.1,49.5,52.3,95.32,50.8
20010.02,13,104,113.7,105.1,8.6,70.2,2.13,23,17.3,75.6,49.1,0.1,60.2,62.2,95.11,56.4
11002.01,8,104,108.7,107.3,1.4,62.7,1.93,18.6,32.9,77,55.2,0.1,49.4,54.1,92.48,52.6
1101.02,37,102,113.6,91.9,21.8,50,1.24,14.4,24,71.3,50.5,0.2,53.9,59.7,108.55,65.1
11001.02,12,102,93.9,101.5,-7.6,76.1,1.26,19,22.1,72.4,46.2,0.2,49.4,52.5,99.03,43.4
210.002,13,102,100,102.6,-2.7,69.3,2,20.5,15.2,74.7,46.4,0.1,51.2,54,90.52,49.6
20100.11,9,101,90.8,110.5,-19.7,56.6,1.79,16.7,10.6,77.9,42.8,0.1,46,48.7,97.12,38.3
11000.111,10,100,100.1,107.5,-7.4,42.7,1.15,14.1,30.2,87.2,57.3,0.2,51.1,51.8,97.75,43
10001.21,30,100,110.8,115.2,-4.3,61.3,1.88,18,22.2,71.8,44.1,0.1,52.9,57.1,98.96,45
101.111,8,99,87.7,97.2,-9.5,60.6,1.59,15.9,26.2,78,49.2,0.1,40.9,43.8,97.59,42.7
10102.1,10,99,94.7,93.4,1.3,70.7,1.56,19.2,30.8,70.7,50.8,0.2,46,48.8,93.13,53.2
1001.021,14,99,102.1,93.7,8.4,51.3,1.6,15.2,26.5,75.7,51.7,0.1,47.5,50.8,97.91,51.8
21100.01,20,99,115.2,106,9.2,62.2,2.68,19.4,22.8,74.2,50.6,0.1,53.6,57.9,93.45,58.3
11001.02,9,99,95.2,103.6,-8.4,72.9,1.27,18.6,20,77.5,48.6,0.2,50,53.3,99.8,46.4
11100.011,9,98,93.8,107.9,-14.1,48.7,1.03,14,35.8,75.9,54.9,0.2,45.9,47.4,93.01,40.8
21200,16,96,102.3,96.8,5.5,60.6,2.05,16.8,29,71.9,50,0.1,44.6,49.6,92.31,54.2
12000.011,27,95,104.8,110.3,-5.5,64.1,1.43,19.1,29.3,69.4,49.7,0.2,52.2,55.7,95.41,48.2
21000.02,9,95,101.5,107,-5.5,53.9,1.32,16.8,21.5,79.5,50.3,0.2,52.3,54.9,96.2,46.5
10200.101,29,94,97.3,96.2,1.1,58.3,0.95,14.2,28,78.3,53.3,0.2,46,52.6,95.08,51.8
100.112,9,94,100.9,107.8,-6.9,62.2,1.84,17.9,26.7,72.6,49.4,0.1,47.6,51,95.48,48
1.211,12,93,95.9,114.5,-18.6,59.1,1.08,15.6,27.9,67.1,45.9,0.2,47.8,51.3,95.75,36.9
1200.011,24,93,97.3,99.6,-2.2,67.7,1.57,17.7,22.4,67.1,43.9,0.2,45,51.1,99.51,47.6
21100.01,22,90,101.4,93.2,8.2,69,1.75,19.6,26,80.6,55.9,0.2,49,53,96.91,58.3
10101.11,13,90,86.5,104.9,-18.4,48.5,1.1,13.6,22.6,82.4,49.1,0.2,43.9,45.2,97.41,34.9
10100.111,9,90,99.1,101.4,-2.3,62.3,2.09,19.3,22.8,73.6,49.4,0.1,48.2,50.9,97.43,49.7
10100.201,17,89,95.7,107.4,-11.7,59,2.12,16.6,19.1,76.5,43.9,0.1,44.9,47.9,88.83,39.9
20010.02,19,88,118.9,109,9.9,60.3,1.81,20.2,26.1,74.3,51,0.2,59.5,62.5,92.68,53.1
21000.02,10,87,103,90,13.1,55,2.36,14.9,27.2,81,52,0.1,42.2,48.3,92.03,57.1
10000.121,13,87,97.9,98.3,-0.5,57.7,1.64,16.1,30.1,80,53.8,0.1,44.7,48.9,100.47,53.1
11000.021,8,87,105.5,113.4,-7.9,56.8,1.45,16.7,31.6,79.3,55.9,0.2,47.5,53.9,100.59,47.8
11001.101,28,87,109.7,101.8,7.9,46.9,1.88,13.3,24.7,71.3,47.8,0.1,47.7,53.6,93.82,56.5
12000.011,8,86,101.9,105,-3.2,62.7,1.45,18,31.2,77.9,54.5,0.2,48.7,52.5,94.84,50.2
12.101,14,86,96,102.4,-6.5,57.4,1.77,16.3,31.1,79.2,53.3,0.1,44.6,46.4,96.21,44.7
10.211,10,85,117.1,101.8,15.4,64.2,1.54,19.2,22.2,73.4,50.7,0.2,58.8,63.9,95.18,58.1
1100.102,12,85,96.5,85.6,10.9,50.8,1.03,15.1,25.7,69.9,49,0.2,48.9,52.3,94.84,55.3
21101,7,84,102.8,96.1,6.8,66.2,2.81,19.7,22.4,77.2,50.3,0.1,46.7,51.1,94.43,58.1
11000.201,16,84,101.1,110.5,-9.4,67.2,1.13,18.9,21.7,72,47.9,0.2,54.9,58.5,95.01,44.5
1.121,11,83,104,110.4,-6.4,57.4,1.56,16.5,23.8,74.3,48.1,0.1,48.7,53.8,101.54,46.9
102.101,13,83,116.5,100.7,15.8,52,1.86,18.5,20.3,80,52.7,0.1,59.9,61.7,91.88,54.8
1101.101,25,81,95.8,99.2,-3.4,53.4,1.63,13.9,20.7,72.5,45.5,0.1,41.8,48.2,100.17,46.8
1110.002,14,81,117.7,120.4,-2.8,58.9,2.53,20,17.5,76.6,47.2,0.1,57.7,61.1,96.22,48.9
1001.021,14,80,113,106.8,6.2,66.2,2.14,20.7,22.9,79.4,49.6,0.1,55.8,58.4,94.52,53.9
,10,80,101.6,85,16.7,70.1,2.24,21.3,26.2,83.6,56.5,0.1,50,52.1,93.89,63.3
10100.111,10,80,88,100.7,-12.8,55.9,1.1,15.5,25.3,69.4,48.8,0.2,45,47.2,96.65,39.2
11200.001,22,80,104.5,93.5,11,44.8,1,12.8,33.8,78.8,55.5,0.2,49.6,53,95.5,55.8
11002.01,11,80,113.9,103.7,10.3,62,1.63,18.3,39,76.6,56,0.2,52.4,56,98.08,56.3
20200.1,12,79,113.9,98.6,15.4,49.3,2,17.6,22.4,79.1,52.8,0.1,56.1,58.6,88.2,58.9
10011.02,23,79,123.5,81.5,42,80.3,3.8,25.6,22.2,70,49,0.1,59.7,62.2,91.43,73.6
11101.001,26,78,103.2,100.1,3.2,51.9,1.42,13,37,67.9,52.7,0.1,41.8,48.1,94.36,51.8
12002,16,77,127.7,101.7,26,62.5,3.85,22.6,30.6,72,53.3,0.1,58.6,61.4,94.59,65.2
1001.111,26,77,113.8,90.8,22.9,58.8,2.35,17.7,25.4,67.1,47.3,0.1,53.1,56.5,103.25,66.6
21100.1,12,77,99.6,96,3.7,66.1,2.05,19.8,13.8,74.2,43.3,0.1,51.2,53.4,91.13,54.9
21000.11,8,77,106.4,118.7,-12.3,65.7,1.76,21.7,22.2,71.2,46.2,0.2,56.5,58.3,91.38,45
11100.011,6,77,89.6,117.1,-27.5,48.1,1.08,12,35.1,86.8,53.7,0.2,37.7,42.4,96.57,30.4
111.2,21,77,109.4,86.1,23.4,58.2,1.56,17.5,17.9,72.2,49,0.1,54.3,59.2,106.22,70.1
1000.031,18,77,116,111.7,4.2,60.9,1.18,18.6,17.6,74.3,50.4,0.2,60.7,68.1,101.78,52.7
21001.01,7,75,80,94.8,-14.7,69.2,0.97,18.1,12.9,84.1,50.4,0.2,47.9,49.2,99.01,44.1
10100.111,19,75,107.9,99.2,8.7,60.6,1.6,19.2,32.3,73.7,55.1,0.2,53,55.9,95.84,56.3
1001.102,10,75,105.7,114.5,-8.8,60,1.44,18.7,21.9,67.9,47.6,0.2,56.4,57.7,97.07,45.3
12002,11,74,112,128.8,-16.8,49.2,1.76,16.3,25,73.2,49.1,0.1,53.3,57.2,88.73,45.1
10200.11,8,74,102,100.1,1.9,43.5,1.13,14.1,17.6,67.2,41.7,0.2,52.6,55.4,99.64,47.2
200.111,20,74,104.2,86,18.2,81,1.42,22.8,9.6,74.7,48,0.2,59.4,63.6,100.34,66.9
101.201,17,74,104.5,91.7,12.8,58.3,1.35,17.4,22,86.3,57.6,0.2,53.8,57.1,97.78,57.3
