first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
D.Carroll,D.DeRozan,K.Lowry,N.Powell,J.Valanciunas,TOR,12,62,102.2,114.1,-11.9,41.7,0.83,12.7,13,71.2,43.9,0.2,54.5,59.3,101.55,42.7
D.Carroll,D.DeRozan,K.Lowry,P.Patterson,J.Valanciunas,TOR,23,147,129,102.2,26.8,57.6,2.24,18.4,33.3,70.3,53.4,0.1,57.9,63,95.03,65.1
D.Carroll,D.DeRozan,K.Lowry,L.Nogueira,J.Valanciunas,TOR,10,108,114.3,98.9,15.4,50,1.64,15.7,31.3,81.6,56.7,0.1,51.6,56.6,97.93,59.6
D.Carroll,D.DeRozan,S.Ibaka,C.Joseph,J.Valanciunas,TOR,6,88,107.3,111,-3.7,35.9,1.22,12.6,26.9,82.7,54.2,0.1,51.9,54.3,94.11,46.7
K.Caldwell-Pope,A.Drummond,J.Leuer,M.Morris,I.Smith,DET,29,108,104.4,101.2,3.2,60,3.18,18.4,31.2,77.7,52.7,0.1,46.4,48.2,91.92,52.6
K.Caldwell-Pope,A.Drummond,R.Jackson,J.Leuer,M.Morris,DET,30,391,103.7,111.6,-7.9,54.4,1.96,16.7,26.6,80.2,50.3,0.1,48.9,50.9,97.35,44.5
K.Caldwell-Pope,A.Drummond,T.Harris,M.Morris,I.Smith,DET,46,396,109.2,108.6,0.6,54.1,2.21,18,21.5,77.1,48.8,0.1,53.4,55.4,96.05,49.8
K.Caldwell-Pope,A.Drummond,T.Harris,J.Leuer,I.Smith,DET,30,107,105.3,109.2,-3.9,53.8,1.69,16.6,26,74.3,49.8,0.1,50.5,53.1,96.82,46.9
K.Caldwell-Pope,A.Drummond,T.Harris,S.Johnson,I.Smith,DET,18,55,97.9,109.3,-11.4,53.5,2.09,14.9,27.8,83.3,52.1,0.1,43.8,47.3,98.4,46.6
K.Caldwell-Pope,A.Drummond,T.Harris,R.Jackson,M.Morris,DET,33,291,103.3,116.7,-13.4,52.7,1.59,16.4,21.6,84.6,50.1,0.1,51.7,53.3,94.98,41.4
K.Caldwell-Pope,A.Drummond,T.Harris,R.Jackson,J.Leuer,DET,15,82,102.2,91.5,10.7,51.4,1.29,16.1,19.7,82.9,51.3,0.2,53.9,55.3,100.02,54.2
J.Calderon,L.Deng,T.Mozgov,J.Randle,N.Young,LAL,6,54,88.9,117,-28.2,65.8,0.96,17.3,21.7,84.8,53.3,0.2,50,52.1,96.72,33.4
J.Butler,J.Grant,R.Lopez,B.Portis,D.Wade,CHI,6,66,101.6,100.5,1.2,65.5,2.57,20,15.9,82.5,49.2,0.1,50,52.4,99.31,48.9
J.Butler,T.Gibson,R.Lopez,R.Rondo,D.Wade,CHI,28,390,106.3,105.5,0.8,59.5,1.82,18.4,31.3,77.3,54.3,0.1,49.3,53.1,96.81,51.4
J.Butler,T.Gibson,R.Lopez,D.McDermott,R.Rondo,CHI,22,93,94.8,105.8,-11.1,64.3,1.41,17.1,31.3,83.3,55.2,0.2,43.5,47.7,97.59,42.6
J.Butler,T.Gibson,J.Grant,R.Lopez,D.Wade,CHI,12,133,113,94.6,18.4,40.8,2.04,13.9,26.2,75.9,52.5,0.1,50.6,54.9,97.58,60.6
J.Butler,M.Carter-Williams,T.Gibson,R.Lopez,D.Wade,CHI,8,96,94.9,101.3,-6.4,64.4,2.24,17.7,26.4,80.2,49.2,0.1,42.7,45.5,94.66,46.3
T.Burke,M.Morris,K.Oubre Jr.,T.Satoransky,J.Smith,WAS,15,77,102.1,86.2,15.9,54.8,1.26,17.3,11.9,80.9,53.4,0.2,53.7,58.6,98.29,62.9
J.Brown,J.Jerebko,K.Olynyk,T.Rozier,M.Smart,BOS,23,73,90.7,93.2,-2.5,67.9,1.24,18.2,21,78.3,51.1,0.2,48,50.8,97.47,48.3
J.Brown,J.Crowder,A.Horford,A.Johnson,I.Thomas,BOS,8,70,99.2,90.4,8.8,63.3,1.63,17.2,12.9,80.3,48.9,0.1,50,53.8,99.02,55.2
A.Bradley,A.Johnson,K.Olynyk,M.Smart,I.Thomas,BOS,10,77,95.8,102.9,-7.2,71.4,1.18,18.1,24.6,68.8,48.3,0.2,48.9,53.4,101.53,45.8
A.Bradley,J.Crowder,A.Horford,M.Smart,I.Thomas,BOS,21,75,115.2,126.7,-11.4,56.3,1.89,15.8,26.3,63.8,42,0.1,49,56.9,104.31,44.8
A.Bradley,J.Crowder,A.Horford,K.Olynyk,I.Thomas,BOS,13,62,125.5,99.5,26,64.9,2.64,20.3,20.7,73,47.9,0.1,59,63.7,103.29,61.8
A.Bradley,J.Crowder,A.Horford,A.Johnson,I.Thomas,BOS,25,295,114.3,106.8,7.5,65.5,2.28,21.3,19,76.9,48.8,0.1,58.1,60,96.7,51.9
